
,,,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring,Scoring,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,
44,2018,2018-11-29,12,13,23.130,DAL,,NOR,W 13-10,*,23,75,3.26,0,6,6,60,10.00,1,100.0%,10.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,63,89%,0,0%,0,0%,
45,2018,2018-12-09,13,14,23.140,DAL,,PHI,W 29-23,*,28,113,4.04,0,13,12,79,6.58,0,92.3%,6.08,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,86,87%,0,0%,1,3%,
46,2018,2018-12-16,14,15,23.147,DAL,@,IND,L 0-23,*,18,87,4.83,0,8,7,41,5.86,0,87.5%,5.13,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,61,88%,0,0%,0,0%,
47,2018,2018-12-23,15,16,23.154,DAL,,TAM,W 27-20,*,18,85,4.72,0,6,5,24,4.80,0,83.3%,4.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,49,94%,0,0%,1,4%,
48,2018,2018-12-30,,17,,DAL,@,NYG,W 36-35,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
49,2019,2019-09-08,1,1,24.048,DAL,,NYG,W 35-17,*,13,53,4.08,1,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,37,54%,0,0%,1,4%,
50,2019,2019-09-15,2,2,24.055,DAL,@,WAS,W 31-21,*,23,111,4.83,1,2,2,9,4.50,0,100.0%,4.50,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,53,77%,0,0%,1,4%,
51,2019,2019-09-22,3,3,24.062,DAL,,MIA,W 31-6,*,19,125,6.58,0,3,2,14,7.00,0,66.7%,4.67,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,48,67%,0,0%,0,0%,
52,2019,2019-09-29,4,4,24.069,DAL,@,NOR,L 10-12,*,18,35,1.94,1,7,6,30,5.00,0,85.7%,4.29,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,56,97%,0,0%,0,0%,
53,2019,2019-10-06,5,5,24.076,DAL,,GNB,L 24-34,*,12,62,5.17,1,3,2,29,14.50,0,66.7%,9.67,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,66,93%,0,0%,0,0%,
54,2019,2019-10-13,6,6,24.083,DAL,@,NYJ,L 22-24,*,28,105,3.75,1,6,5,48,9.60,0,83.3%,8.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,75,91%,0,0%,0,0%,
55,2019,2019-10-20,7,7,24.090,DAL,,PHI,W 37-10,*,22,111,5.05,1,7,6,36,6.00,0,85.7%,5.14,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,55,80%,0,0%,0,0%,
56,2019,2019-11-04,8,9,24.105,DAL,@,NYG,W 37-18,*,23,139,6.04,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,83%,0,0%,0,0%,
